racer,rank,points
0,34,34
1,32,87
2,3,497
3,29,119
4,8,384
5,6,439
6,9,360
7,24,136
8,17,187
9,22,152
10,23,139
11,25,136
12,13,305
13,2,513
14,1,565
15,21,153
16,18,186
17,31,101
18,12,311
19,15,204
20,11,343
21,28,120
22,30,119
23,40,
24,27,136
25,14,305
26,7,385
27,36,17
28,20,171
29,4,482
30,19,171
31,5,443
32,33,85
33,26,136
34,16,202
35,10,350
0,15,83
1,25,22
2,7,128
3,2,191
4,32,
5,41,
6,21,42
7,22,42
8,24,22
9,9,126
10,23,41
11,20,43
12,47,
13,43,
14,30,21
15,10,107
16,16,82
17,3,189
18,17,82
19,40,
20,29,21
21,14,83
22,4,186
23,36,
24,28,21
25,8,127
26,37,
27,50,
28,54,
29,6,129
30,34,
31,12,84
32,18,66
33,5,184
34,11,104
35,39,
36,27,21
37,1,269
38,13,84
39,38,
